SNo,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,country,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,hand,religion,familysize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,3,2,2,4,3,1,3,4,3,3,3,3,3,1,1,3,2,4,3,2,4,1,2,3,3,2,2,3,3,2,2,4,3,2,3,1,2,4,3,1,2,US,511,121,6,5,6,6,6,2,5,3,3,3,2,1,2,18,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,1,1,1,2,1,3,1,3,3,2,3,4,1,3,3,2,4,2,3,2,1,2,1,3,3,1,3,3,1,1,1,2,1,2,4,2,4,2,3,2,US,113,148,5,1,4,6,5,5,7,6,2,1,3,0,2,20,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,4,1,2,3,1,1,3,2,1,2,1,4,1,1,3,4,3,1,1,1,3,2,3,1,1,2,3,3,3,2,2,2,1,1,4,1,1,2,4,2,3,EE,175,162,5,2,5,5,2,6,7,6,6,2,4,2,1,31,1,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,143,228,3,5,6,1,6,5,3,2,7,2,3,2,1,34,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,1,2,2,2,1,1,1,2,2,2,1,2,3,1,2,3,3,1,1,2,2,2,2,1,3,3,1,1,1,2,2,1,2,3,1,2,1,3,3,1,3,US,155,146,3,5,4,5,6,5,4,3,4,4,2,2,2,17,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,1,2,2,1,3,1,3,4,1,3,3,3,1,1,1,3,3,1,3,1,3,1,2,1,4,4,3,4,3,1,3,4,1,3,3,1,1,3,4,1,3,US,148,108,1,7,5,7,1,6,5,4,1,3,2,2,2,19,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,1,2,1,2,3,1,2,2,2,2,1,2,2,1,3,2,2,2,1,2,1,1,2,1,2,2,1,1,1,3,2,1,2,2,1,2,1,2,2,1,1,GB,99,151,1,4,4,0,7,5,4,4,3,1,3,3,2,18,1,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,2,2,1,3,1,1,2,1,2,1,1,1,4,1,3,1,2,1,1,1,1,1,3,2,1,2,1,1,1,3,2,1,1,4,1,1,2,3,1,1,4,US,128,89,2,7,7,1,6,5,4,7,6,2,2,1,1,19,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,2,2,1,4,3,1,1,3,2,2,1,3,1,1,2,2,4,2,4,3,1,1,3,1,3,3,1,1,2,2,1,1,2,4,1,3,2,3,1,1,4,US,280,234,2,2,5,4,6,7,4,6,3,6,2,3,2,19,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,1,2,1,2,3,1,2,2,2,4,1,3,2,1,1,2,4,2,1,1,3,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,US,182,123,7,1,3,6,6,1,7,6,1,1,1,1,2,15,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,1,2,1,3,3,1,3,2,3,3,1,2,3,2,3,2,3,1,1,2,3,1,4,1,2,4,1,3,1,3,4,1,2,3,1,2,2,4,2,1,3,US,236,158,1,6,5,7,2,6,2,7,2,7,1,2,1,15,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,2,3,4,3,3,4,4,2,4,3,3,4,2,2,3,4,3,2,4,4,4,2,3,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,3,3,CA,118,434,3,3,5,5,5,5,5,3,1,1,2,3,2,22,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,2,2,2,1,4,1,2,3,2,3,2,3,4,1,2,2,2,1,3,2,2,1,2,1,3,2,3,4,2,3,2,2,3,3,3,2,1,3,3,1,4,EC,223,230,1,5,5,6,3,6,5,3,3,5,2,3,2,19,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,3,2,1,3,2,2,2,3,2,2,2,3,2,2,3,2,2,3,1,2,2,2,2,2,4,2,3,2,2,2,1,2,2,1,2,3,2,2,1,1,3,AU,254,162,2,4,3,5,5,6,5,7,3,4,2,1,1,20,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,1,4,2,4,3,3,4,2,4,4,3,4,3,2,4,4,3,2,4,4,4,2,4,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,3,4,4,US,229,134,1,6,5,7,7,7,1,6,1,2,1,2,2,16,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,US,323,162,4,1,7,7,7,2,6,5,1,1,1,1,2,15,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,2,1,2,1,2,4,1,3,2,2,4,3,2,3,3,2,1,4,4,1,3,1,4,3,2,4,3,2,1,1,1,4,1,2,2,1,1,3,2,2,1,US,209,365,7,3,1,7,7,1,5,7,3,1,2,3,2,16,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,3,4,4,4,3,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,US,142,168,1,6,6,6,5,7,1,7,4,7,2,3,2,19,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,US,121,171,3,3,5,1,5,5,5,5,6,5,2,3,2,16,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,2,3,1,3,3,1,3,2,2,3,4,3,2,1,2,3,4,1,4,2,3,2,4,3,3,3,3,2,2,2,1,3,3,2,2,3,3,2,3,1,2,US,147,122,5,6,4,6,6,6,5,3,2,4,2,2,1,19,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,2,2,1,4,2,1,1,2,2,2,2,4,2,1,2,4,1,3,2,4,1,2,3,1,4,1,1,3,1,1,1,1,4,1,1,2,4,1,3,1,4,US,174,109,5,5,5,5,7,7,7,5,5,6,2,3,1,18,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
